,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
11393,Bangalore,Wheat,Local,FAQ,2200.0,3000.0,2600.0,2015-03-12
11394,Bangalore,Wheat,Local,FAQ,2200.0,3000.0,2600.0,2015-03-13
11395,Bangalore,Wheat,Local,FAQ,,,2712.8037806639104,2015-03-14
11396,Bangalore,Wheat,Local,FAQ,,,2712.8025757484897,2015-03-15
11397,Bangalore,Wheat,Local,FAQ,2200.0,3000.0,2600.0,2015-03-16
11398,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2500.0,2015-03-17
11399,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2500.0,2015-03-18
11400,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2500.0,2015-03-19
11401,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2500.0,2015-03-20
11402,Bangalore,Wheat,Local,FAQ,,,2520.494327848882,2015-03-21
11403,Bangalore,Wheat,Local,FAQ,,,2520.4955173238554,2015-03-22
11404,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2500.0,2015-03-23
11405,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2550.0,2015-03-24
11406,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2550.0,2015-03-25
11407,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2400.0,2015-03-26
11408,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2400.0,2015-03-27
11409,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2400.0,2015-03-28
11410,Bangalore,Wheat,Local,FAQ,,,2315.3513250675396,2015-03-29
11411,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2400.0,2015-03-30
11412,Bangalore,Wheat,Local,FAQ,2400.0,2800.0,2600.0,2015-03-31
11413,Bangalore,Wheat,Local,FAQ,2400.0,2800.0,2600.0,2015-04-01
11414,Bangalore,Wheat,Local,FAQ,,,2446.2212916541725,2015-04-02
11415,Bangalore,Wheat,Local,FAQ,,,2446.2203210731377,2015-04-03
11416,Bangalore,Wheat,Local,FAQ,2400.0,2800.0,2600.0,2015-04-04
11417,Bangalore,Wheat,Local,FAQ,,,2715.3339536453354,2015-04-05
11418,Bangalore,Wheat,Local,FAQ,2400.0,2800.0,2600.0,2015-04-06
11419,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2550.0,2015-04-07
11420,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2550.0,2015-04-08
11421,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2600.0,2015-04-09
11422,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2600.0,2015-04-10
11423,Bangalore,Wheat,Local,FAQ,,,2446.188847749498,2015-04-11
11424,Bangalore,Wheat,Local,FAQ,,,2446.1915227032914,2015-04-12
11425,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2600.0,2015-04-13
11426,Bangalore,Wheat,Local,FAQ,,,2677.858963395867,2015-04-14
11427,Bangalore,Wheat,Local,FAQ,2300.0,2600.0,2450.0,2015-04-15
11428,Bangalore,Wheat,Local,FAQ,2300.0,2600.0,2450.0,2015-04-16
11429,Bangalore,Wheat,Local,FAQ,2300.0,2600.0,2450.0,2015-04-17
11430,Bangalore,Wheat,Local,FAQ,2300.0,2600.0,2450.0,2015-04-18
11431,Bangalore,Wheat,Local,FAQ,,,2640.4625192781064,2015-04-19
11432,Bangalore,Wheat,Local,FAQ,2300.0,2600.0,2450.0,2015-04-20
11433,Bangalore,Wheat,Local,FAQ,,,2322.028349080205,2015-04-21
11434,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-04-22
11435,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-04-23
11436,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-04-24
11437,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-04-25
11438,Bangalore,Wheat,Local,FAQ,,,2409.2883202114845,2015-04-26
11439,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2800.0,2015-04-27
11440,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2800.0,2015-04-28
11441,Bangalore,Wheat,Local,FAQ,,,2384.156901420682,2015-04-29
11442,Bangalore,Wheat,Local,FAQ,2000.0,3000.0,2600.0,2015-04-30
11443,Bangalore,Wheat,Local,FAQ,,,2865.8723421149753,2015-05-01
11444,Bangalore,Wheat,Local,FAQ,2000.0,3000.0,2600.0,2015-05-02
11445,Bangalore,Wheat,Local,FAQ,,,2234.357392695285,2015-05-03
11446,Bangalore,Wheat,Local,FAQ,,,2201.0479110601354,2015-05-04
11447,Bangalore,Wheat,Local,FAQ,1900.0,3000.0,2500.0,2015-05-05
11448,Bangalore,Wheat,Local,FAQ,1900.0,3000.0,2500.0,2015-05-06
11449,Bangalore,Wheat,Local,FAQ,1900.0,3000.0,2500.0,2015-05-07
11450,Bangalore,Wheat,Local,FAQ,1900.0,3200.0,2550.0,2015-05-08
11451,Bangalore,Wheat,Local,FAQ,,,2306.0025583614024,2015-05-09
11452,Bangalore,Wheat,Local,FAQ,,,2306.038809641066,2015-05-10
11453,Bangalore,Wheat,Local,FAQ,1900.0,3200.0,2550.0,2015-05-11
11454,Bangalore,Wheat,Local,FAQ,2200.0,3000.0,2600.0,2015-05-12
11455,Bangalore,Wheat,Local,FAQ,2200.0,3000.0,2600.0,2015-05-13
11456,Bangalore,Wheat,Local,FAQ,2200.0,3000.0,2600.0,2015-05-14
11457,Bangalore,Wheat,Local,FAQ,2000.0,3000.0,2500.0,2015-05-15
11458,Bangalore,Wheat,Local,FAQ,2000.0,3000.0,2500.0,2015-05-16
11459,Bangalore,Wheat,Local,FAQ,,,2466.1096403377405,2015-05-17
11460,Bangalore,Wheat,Local,FAQ,2000.0,3000.0,2500.0,2015-05-18
11461,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-05-19
11462,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-05-20
11463,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-05-21
11464,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-05-22
11465,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2500.0,2015-05-23
11466,Bangalore,Wheat,Local,FAQ,,,2465.2061845511307,2015-05-24
11467,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2500.0,2015-05-25
11468,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2500.0,2015-05-26
11469,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2500.0,2015-05-27
11470,Bangalore,Wheat,Local,FAQ,2000.0,2800.0,2500.0,2015-05-28
11471,Bangalore,Wheat,Local,FAQ,2450.0,2800.0,2600.0,2015-05-29
11472,Bangalore,Wheat,Local,FAQ,2450.0,2800.0,2600.0,2015-05-30
11473,Bangalore,Wheat,Local,FAQ,,,2464.34271687341,2015-05-31
11474,Bangalore,Wheat,Local,FAQ,2450.0,2800.0,2600.0,2015-06-01
11475,Bangalore,Wheat,Local,FAQ,,,2806.65170382732,2015-06-02
11476,Bangalore,Wheat,Local,FAQ,,,2883.842762509843,2015-06-03
11477,Bangalore,Wheat,Local,FAQ,,,2831.606624868406,2015-06-04
11478,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-05
11479,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-06
11480,Bangalore,Wheat,Local,FAQ,,,2773.3477293612714,2015-06-07
11481,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-08
11482,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-09
11483,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-10
11484,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-11
11485,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-12
11486,Bangalore,Wheat,Local,FAQ,,,2484.452316393384,2015-06-13
11487,Bangalore,Wheat,Local,FAQ,,,2484.499329959317,2015-06-14
